name,areaSlug,nearestStation,walkMinutes,hasWifi,wifiType,hasPower,powerDensity,laptopFriendly,businessHours,priceBand,confidence,description,sourceUrl
"Onca Coffee","chiyoda","Jimbocho","8","true","free","true","some","true","","¥","medium","A no-time-limit independent coffee shop with free Wi-Fi and outlets along its long bench seat between Jimbocho and Otemachi.","https://girleatworld.net/work-friendly-cafes-tokyo/"
"Think Coffee Jimbocho","chiyoda","Jimbocho","9","true","free","true","some","true","","¥¥","medium","A two-floor specialty cafe with fast free Wi-Fi and outlets on some upstairs seats and no seating time limit.","https://girleatworld.net/work-friendly-cafes-tokyo/"
"Brooklyn Roasting Company Tokyo International Forum","chiyoda","Yurakucho","3","true","free","true","some","true","","¥¥","medium","A compact roastery cafe in the International Forum with fast free Wi-Fi and some powered tables, subject to a 2-hour limit when busy.","https://girleatworld.net/work-friendly-cafes-tokyo/"
"Streamer Coffee Company Nakameguro","meguro","Nakameguro","9","true","free","true","counter","true","9:00-17:00 (hours vary by source)","¥¥","high","A glass-walled specialty coffee shop known for latte art where window counter seats offer outlets and a calm weekday atmosphere for laptop work.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"FRAMES Nakameguro","meguro","Nakameguro","2","true","free","true","some","true","11:30-23:00 (later on weekends)","¥¥","high","A large roughly 100-seat cafe-bar a short walk from the station with free Wi-Fi and outlets at select seats, better suited to those who can focus amid a lively crowd.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Open Nakameguro","meguro","Nakameguro","5","true","free","true","counter","true","11:00-18:00","¥¥","high","A bright white-toned open space that doubles as a rental venue, offering free Wi-Fi and window-counter outlets for relaxed daytime work.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Podium Cafe","meguro","Nakameguro","5","true","free","true","some","true","10:00-20:00","¥¥","high","A resort-styled cafe attached to an automotive showroom concept where free Wi-Fi and outlets support a quiet escape from the surrounding bustle.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Starbucks Coffee Nakameguro GT Tower","meguro","Nakameguro","3","true","free","true","counter","true","7:00-22:30","¥¥","high","A basement-level Starbucks near the station with free Wi-Fi and outlets along the window counter and central table, giving a comparatively calm chain option.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Starbucks Coffee Nakameguro Tsutaya Bookstore","meguro","Nakameguro","2","true","free","true","some","true","7:00-22:00","¥¥","high","A bookstore-integrated Starbucks with around 15 outlets along its counter, pleasant for reading-and-working sessions though it fills up quickly.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Freshness Burger Nakameguro Ekimae","meguro","Nakameguro","2","true","free","true","counter","true","8:00-23:00","¥","high","A bright casual burger chain right by the station whose counter has roughly six outlet-equipped seats, making it a budget spot for quick laptop work.","https://goworkship.com/magazine/nakameguro-cafe-wifi-dengen/"
"Roju Cafe","meguro","Nakameguro","6","true","free","true","counter","true","10:00-20:00","¥¥","high","A renovated-warehouse cafe furnished with designer and mid-century pieces, offering free Wi-Fi and counter outlets in a stylish space that also serves as a rental studio.","https://office.yield-marketing.co.jp/coworking/recommended-nakameguro-workcafe/"
"Good Sound Coffee Nakameguro","meguro","Nakameguro","3","true","free","true","many","true","8:00-23:00","¥¥","medium","A high-ceilinged 60-seat cafe built around a multi-speaker sound concept, with free Wi-Fi and outlets at both bench and counter seating for long work sessions.","https://office.yield-marketing.co.jp/coworking/recommended-nakameguro-workcafe/"
"Alpha Beta Coffee Club Jiyugaoka","meguro","Jiyugaoka","1","true","free","true","some","true","Mon-Fri 8:00-23:00, Sat 9:00-22:00, Sun 9:00-21:00","¥¥","high","A spacious West-Coast-styled specialty coffee club by the station praised for fast reliable Wi-Fi and floor-level outlets at the center tables, well suited to extended work.","https://office.yield-marketing.co.jp/coworking/recommended-jiyuugaoka-workcafe/"
"Onibus Coffee Jiyugaoka","meguro","Jiyugaoka","4","true","free","true","many","true","9:00-17:00 (hours vary by source)","¥¥","high","A light-filled, wood-toned specialty roaster branch with its own Wi-Fi and around ten dual outlets beneath the central bench, making it comfortable for telework.","https://office.yield-marketing.co.jp/coworking/recommended-jiyuugaoka-workcafe/"
"Latte Graphic Jiyugaoka","meguro","Jiyugaoka","1","true","free","true","some","true","7:00-22:30","¥¥","medium","An Australian-inspired 65-seat cafe open from early morning with free Wi-Fi and outlets at table seating, giving flexible space for solo work.","https://office.yield-marketing.co.jp/coworking/recommended-jiyuugaoka-workcafe/"
"Doutor Coffee Jiyugaoka Marie-Claire Street","meguro","Jiyugaoka","1","true","free","true","many","true","7:30-21:00","¥","medium","A tidy white-interior Doutor with free Wi-Fi and outlets at roughly twenty seats, a cheap and convenient option though a 90-minute stay limit is noted.","https://office.yield-marketing.co.jp/coworking/recommended-jiyuugaoka-workcafe/"
"Coffee Base Meguro","meguro","Meguro","7","true","free","true","some","true","7:00-18:00","¥¥","medium","A modern specialty coffee shop with terrace seating on the Meguro-ku side of the station, offering free Wi-Fi and outlets for focused daytime work.","https://goworkship.com/magazine/meguro-cafe-dengen-wifi/"
"Cafe Veloce Meguro","meguro","Meguro","3","true","free","true","some","true","7:00-22:00","¥","medium","A two-floor budget chain cafe on the Meguro-ku west side of the station with free Wi-Fi, outlets, and ample single-seat availability.","https://goworkship.com/magazine/meguro-cafe-dengen-wifi/"
"Bunkitsu Roppongi","minato","Roppongi","1","true","free","true","some","true","9:00-23:00","¥¥","high","A paid-entry bookshop-cafe with no time limit, bottomless coffee, Wi-Fi in the reading room and outlets at counter seating, a calm all-day spot to work among 30,000 books.","https://office.yield-marketing.co.jp/coworking/recommended-roppongi-workcafe/"
"Verve Coffee Roasters Roppongi","minato","Roppongi","6","true","free","true","some","true","7:00-21:00","¥¥","high","A bright, glass-fronted specialty roaster with English-speaking staff, no time limit and free Wi-Fi, though power outlets are limited and mostly on the first floor.","https://gonetravellingproductions.com/2024/08/23/work-friendly-cafes-in-minato-city/"
"Common Roppongi","minato","Roppongi","1","true","free","true","some","true","8:00-23:00","¥¥","medium","A spacious cafe-by-day, bar-by-night close to Roppongi Station with a warm, quiet atmosphere, free Wi-Fi and outlets at some seats.","https://gonetravellingproductions.com/2024/08/23/work-friendly-cafes-in-minato-city/"
"Renoir Roppongi Lapiros","minato","Roppongi","1","true","free","true","many","true","8:00-22:00","¥¥","medium","A traditional full-service coffee lounge where all of its roughly 97 seats have outlets, a reliable if pricier choice for long focused sessions.","https://office.yield-marketing.co.jp/coworking/recommended-roppongi-workcafe/"
"PARK6","minato","Roppongi","2","true","free","true","many","true","7:00-21:00 (weekday)","¥¥","medium","A cafe inside Roppongi Hills Mori Tower reported to have outlets at all of its 92 seats plus Wi-Fi, well suited to laptop work.","https://office.yield-marketing.co.jp/coworking/recommended-roppongi-workcafe/"
"Starbucks Roppongi Hills West Walk","minato","Roppongi","5","true","free","true","counter","true","7:00-22:30","¥¥","medium","A busy Roppongi Hills Starbucks with free Wi-Fi and a limited number of outlets at counter seating.","https://office.yield-marketing.co.jp/coworking/recommended-roppongi-workcafe/"
"Streamer Coffee Company Azabu-Juban","minato","Azabu-Juban","5","true","free","true","some","true","8:00-19:00 (varies)","¥¥","medium","A latte-art-focused specialty cafe with a concrete-and-wood interior and bilingual-friendly vibe, reported to offer both Wi-Fi and power outlets for working visitors.","https://gonetravellingproductions.com/2024/08/23/work-friendly-cafes-in-minato-city/"
"Starbucks Azabu-Juban","minato","Azabu-Juban","2","true","free","true","some","true","6:30-22:00 (varies by day)","¥¥","medium","A multi-floor Starbucks near Azabu-Juban Station with free Wi-Fi and a cluster of outlets around a third-floor center table.","https://office.yield-marketing.co.jp/coworking/recommended-azabujuban-workcafe/"
"Ueshima Coffee Ten Azabu-Juban","minato","Azabu-Juban","1","true","free","true","some","true","7:00-22:00","¥","medium","A relaxed, wood-toned coffee chain branch open long hours with registration-based Wi-Fi and outlets at part of the seating.","https://office.yield-marketing.co.jp/coworking/recommended-azabujuban-workcafe/"
"The Core Kitchen/Space","minato","Shimbashi","6","true","free","true","some","true","11:00-23:00","¥¥","medium","A large, open cafe-and-dining space along Shintora-dori with Wi-Fi and outlets at wall-side seats, comfortable for extended work.","https://office.yield-marketing.co.jp/coworking/recommended-shinbashi-workcafe/"
"Logi Cafe","minato","Uchisaiwaicho","1","true","free","true","many","true","10:00-19:00 (weekdays)","¥¥","medium","A small basement cafe near Uchisaiwaicho where every one of its roughly 20 seats has an outlet plus Wi-Fi, tailored to solo work.","https://office.yield-marketing.co.jp/coworking/recommended-shinbashi-workcafe/"
"Excelsior Caffe Shimbashi 2-chome","minato","Shimbashi","2","true","free","true","some","true","Weekday 7:00-21:00, Weekend/Hol 8:00-20:00","¥","medium","An affordable two-floor coffee-chain branch a couple minutes from Shimbashi Station with free Wi-Fi and outlets at several spots.","https://office.yield-marketing.co.jp/coworking/recommended-shinbashi-workcafe/"
"Renoir Shimbashi Shiodome-guchi Ekimae","minato","Shimbashi","1","true","free","true","some","true","Weekday 7:00-23:00, Sun/Hol 8:00-21:00","¥¥","medium","A classic sit-and-stay coffee lounge right by the Shiodome exit offering free Wi-Fi and outlets at counter seats.","https://office.yield-marketing.co.jp/coworking/recommended-shinbashi-workcafe/"
"Accea Cafe Tamachi","minato","Tamachi","5","true","free","true","many","true","24 hours","¥¥","medium","A 24-hour pay-per-time work cafe near Tamachi with free Wi-Fi and outlets at every seat, built specifically for laptop work.","https://office.yield-marketing.co.jp/coworking/recommended-tamachi-workcafe/"
"Starbucks Tamachi Tower","minato","Tamachi","2","true","free","true","some","true","Weekday 7:00-22:00, Weekend/Hol 8:00-21:00","¥¥","medium","A Starbucks in the Tamachi Tower complex with free Wi-Fi and around a dozen outlets along the counter seating.","https://office.yield-marketing.co.jp/coworking/recommended-tamachi-workcafe/"
"Ueshima Coffee Ten Aoyama","minato","Omotesando","2","true","free","true","counter","true","Weekday 7:30-21:00, Weekend 8:00-21:00","¥¥","medium","A calm coffee-chain branch on the Minato side of Omotesando with registration-based Wi-Fi and outlets at counter seats.","https://office.yield-marketing.co.jp/coworking/recommended-omotesando-workcafe/"
"Freeman Cafe","shibuya","Shibuya Station","4","true","free","true","many","true","9:00-23:00 daily","¥¥","high","A reliably work-oriented cafe right by the station with fast free Wi-Fi and outlets at most of its many tables, though a two-hour limit applies when busy.","https://goworkship.com/magazine/shibuya-nomado/"
"FabCafe Tokyo","shibuya","Shibuya Station","7","true","free","true","some","true","Weekday 9:00-20:00, weekend hours vary","¥","high","A bright, creative-leaning cafe on Dogenzaka with fast free Wi-Fi, outlets around its roughly 58 seats, and even 3D-printer and laser-cutter services for makers.","https://goworkship.com/magazine/shibuya-nomado/"
"Forest Library","shibuya","Shibuya Station","1","true","free","true","some","true","Approx. 9:00-22:45 (varies)","¥¥","high","A book-lined library-cafe hybrid a minute from the station with free Wi-Fi, outlets and unlimited drinks, though it charges an hourly seat rate rather than a simple drink minimum.","https://goworkship.com/magazine/shibuya-nomado/"
"Komeda Coffee Shibuya Miyamasuzaka","shibuya","Shibuya Station","5","true","free","true","many","true","7:00-22:30","¥¥","high","A spacious neighborhood-living-room style chain cafe with partitioned comfy seating, free Wi-Fi and outlets at nearly every seat, with a 90-minute limit during crowded periods.","https://goworkship.com/magazine/shibuya-nomado/"
"Streamer Coffee Company Shibuya","shibuya","Shibuya Station","5","true","free","true","some","true","8:00-20:00","¥¥","high","A stylish latte-art specialist with a big communal worktable, counter seating and around ten plugs plus free Wi-Fi, though loud music makes it better with headphones for focused work.","https://aumo.jp/articles/21926"
"Udagawa Cafe","shibuya","Shibuya Station","5","true","free","true","some","true","Late; open into early morning (sources vary)","¥¥","medium","A vintage-furnished cafe with free Wi-Fi and outlets across its roughly 80 seats that stays open very late, making it a rare option for night-owl working sessions.","https://goworkship.com/magazine/shibuya-nomado/"
"MOJA in the House","shibuya","Shibuya Station","6","true","free","true","some","true","11:00-23:00","¥¥","medium","A large 120-plus-seat cafe known for chicken and waffles, offering free Wi-Fi and outlets at counter and sofa areas, though lunchtime crowds can fill it up.","https://goworkship.com/magazine/shibuya-nomado/"
"The Theatre Table","shibuya","Shibuya Station","3","true","free","true","some","true","Approx. 11:00-23:00 (sources vary)","¥¥","medium","A roomy restaurant-cafe high up in Shibuya Hikarie with free Wi-Fi and outlets conveniently placed at table and sofa seating, good for a quieter mid-afternoon work stint.","https://goworkship.com/magazine/shibuya-nomado/"
"Valley Park Stand","shibuya","Shibuya Station","4","true","free","true","some","true","8:00-22:00 daily","¥¥","high","A bright Miyashita Park cafe with fast free Wi-Fi and outlets along a long shared table, best worked from in the quieter mornings before it gets busy; cashless only.","https://cotoacademy.com/best-cafes-in-shibuya-for-studying-and-remote-work-with-wifi-power-sockets/"
"White Glass Coffee","shibuya","Shibuya Station","6","true","free","true","some","true","8:00-20:00 daily","¥¥","medium","A small specialty coffee shop on the Sakuragaoka side with free Wi-Fi and outlets, subject to a two-hour seating limit that keeps it turning over.","https://cotoacademy.com/best-cafes-in-shibuya-for-studying-and-remote-work-with-wifi-power-sockets/"
"Kohi Chakan Premium Grand Shibuya","shibuya","Shibuya Station","3","true","free","true","some","true","10:00-22:00 daily","¥¥","medium","A classic-style coffee house with a European-pub feel offering free Wi-Fi and outlets, along with full meals if you want to settle in for a while.","https://cotoacademy.com/best-cafes-in-shibuya-for-studying-and-remote-work-with-wifi-power-sockets/"
"Trunk Lounge","shibuya","Shibuya Station","5","true","free","true","some","true","8:00-23:00 daily","¥¥¥","medium","A design-hotel lobby lounge with very fast free Wi-Fi, outlets at working and lounge seats and no time limit, though it is pricey and dimly lit with little natural light.","https://girleatworld.net/work-friendly-cafes-tokyo/"
"Marked Cafe Shibuya Cast","shibuya","Shibuya Station","5","true","free","true","some","true","9:00-18:30 daily","¥¥","medium","A calm cafe in the Shibuya Cast complex with high-speed free Wi-Fi and outlets, well suited to daytime work but closing relatively early in the evening.","https://girleatworld.net/work-friendly-cafes-tokyo/"
"Starbucks Coffee Shibuya Modi","shibuya","Shibuya Station","5","true","free","true","some","true","Roughly matches Shibuya Modi building hours","¥¥","high","One of the better Shibuya Starbucks branches for working, with free Wi-Fi and actual power outlets across its large floor, unlike many nearby Starbucks that have Wi-Fi but no outlets.","https://everyday-starbucks.com/2022/11/18/shibuya-modi/"
"Dean & Deluca Cafe Shibuya Stream","shibuya","Shibuya Station","3","true","free","true","some","true","","¥¥","medium","A bakery-cafe connected to Shibuya Station in the Shibuya Stream complex with free Wi-Fi and power-equipped seating among its roughly 80 seats.","https://aumo.jp/articles/21926"
"Tokyo Kenkyo","shibuya","Shibuya Station","10","true","free","false","none","true","8:00-17:30, Tue-Sun (closed Monday)","¥¥","medium","A pleasant rooftop-terrace cafe toward Daikanyama with free Wi-Fi but no power outlets, so it is best for reading or short sessions on a full battery.","https://cotoacademy.com/best-cafes-in-shibuya-for-studying-and-remote-work-with-wifi-power-sockets/"
"Caffice","shinjuku","Shinjuku-sanchome","1","true","free","true","many","true","10:00-23:00 daily","¥¥","high","A purpose-built work cafe with a dedicated single-seat work zone where every seat has its own outlet and lamp, plus a lounge and standard cafe area.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Coffee Kizoku Edinburgh","shinjuku","Shinjuku-sanchome","1","true","free","true","some","true","24 hours daily","¥¥","high","A grand old-style kissaten open around the clock with a library-like hush, free Wi-Fi and outlets, making it a rare option for late-night work.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"HAKADORU Shinjuku-sanchome","shinjuku","Shinjuku-sanchome","1","true","free","true","many","true","Mon-Fri 7:30-21:30, Sat/Sun/Hol 9:00-21:30","¥¥","high","A no-membership drop-in coworking cafe charging by time with free drinks, outlets at every seat and booths where you can take video calls.","https://haka-doru.jp/store/shinjuku"
"Brooklyn Parlor Shinjuku","shinjuku","Shinjuku-sanchome","1","true","free","true","some","true","11:30-23:30 (Sun/Hol to 23:00)","¥¥","high","A spacious Brooklyn-themed cafe-bar lined with books where free Wi-Fi is available but outlet seats are limited, and it can get busy in the afternoons.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"The Smokist Coffee Shinjuku-gyoenmae","shinjuku","Shinjuku-gyoenmae","2","true","free","true","many","true","Mon-Fri 7:00-21:00, Sat 8:00-21:00, Sun/Hol 8:00-20:00","¥¥","high","An all-smoking coffee stand aimed at working smokers, with free Wi-Fi and outlets at customer seats and early opening hours.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Coffee Seibu","shinjuku","Shinjuku Station","3","true","free","true","some","true","Approx. 7:30-23:30 (varies by floor)","¥¥","high","A large retro kissaten open since the 1960s with 250-plus seats over multiple floors, free Wi-Fi and outlets concentrated at the upper-floor window seats.","https://goworkship.com/magazine/shinjuku-nomado/"
"Tully's Coffee Nishi-Shinjuku Ekimae","shinjuku","Nishi-Shinjuku","1","true","free","true","some","true","Mon-Fri 7:00-21:15, Sat 7:30-20:15, Sun/Hol 8:30-20:15","¥","high","A convenient chain branch right by Nishi-Shinjuku station with open seating, free Wi-Fi and a number of outlet seats for casual work.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Starbucks Shinjuku Nishiguchi","shinjuku","Shinjuku Station","2","true","free","true","some","true","7:00-23:00 daily","¥¥","medium","A West-Exit Starbucks reachable via the underground passage that offers free Wi-Fi and outlets along its center and wall desks.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Starbucks Shinjuku Nomura Building","shinjuku","Nishi-Shinjuku","6","true","free","true","some","true","Mon-Fri 7:00-21:00, Sat 8:00-20:00, Sun/Hol 9:00-20:00","¥¥","medium","A basement office-building Starbucks connected underground to the station, with free Wi-Fi and outlets at its center and wall seating.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Cafe Hudson Shinjuku Mylord","shinjuku","Shinjuku Station","1","true","free","true","some","true","11:00-22:00 daily","¥¥","medium","A New York-styled cafe atop the station-connected Mylord building with free Wi-Fi, QR-code ordering and outlets in one designated seating section.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"The 3rd Burger Shinjuku Ohgado","shinjuku","Nishi-Shinjuku","1","true","free","true","some","true","9:00-22:00 daily","¥","medium","A health-oriented burger cafe with a large seat count that is popular for studying and working thanks to free Wi-Fi and available outlets.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Kissaten Renoir Shinjuku West Exit","shinjuku","Shinjuku Station","2","true","free","true","some","true","Mon-Sat 7:30-22:00, Sun/Hol 8:00-22:00","¥¥","medium","A branch of the classic business-friendly Renoir kissaten chain with roomy seating, free Wi-Fi and outlets that welcomes long stays.","https://goworkship.com/magazine/shinjuku-nomado/"
"Komeda's Coffee Shinjuku-sanchome","shinjuku","Shinjuku-sanchome","2","true","free","true","some","true","7:00-23:00 daily","¥¥","medium","A comfortable branch of the Komeda coffee chain with roomy booth seating, free Wi-Fi and outlets, though it often has a wait at peak times.","https://goworkship.com/magazine/shinjuku-nomado/"
"Paul Bassett Shinjuku","shinjuku","Nishi-Shinjuku","4","true","free","false","none","false","Mon-Fri 7:30-20:30, Sat 9:00-20:00, Sun/Hol 9:00-19:00","¥¥¥","low","A premium champion-barista espresso cafe with free Wi-Fi but where sources disagree on outlets and at least one reports none, so it suits short high-quality coffee breaks more than long work.","https://goworkship.com/magazine/shinjuku-nomado/"
"Cotocafe","shinjuku","Shinjuku-sanchome","2","true","free","false","none","true","Sun-Thu 11:00-20:00, Fri-Sat 11:00-21:00","¥¥","low","A cozy vintage-styled cafe with free Wi-Fi and a relaxed vibe, but sources conflict on whether outlets are available so power should not be relied upon.","https://autoro.io/mag/shinjyukuwifidengemcafe/"
"Toki Cafe Kagurazaka","shinjuku","Iidabashi","3","true","free","true","many","true","Mon-Fri 9:00-23:00, Sat/Sun 10:00-23:00","¥","medium","A budget-friendly Kagurazaka work cafe reported to have outlets at every seat, free Wi-Fi, a drink bar and even massage chairs.","https://office.yield-marketing.co.jp/coworking/recommended-kagurazaka-workcafe/"
"Starbucks Kagurazaka-shita","shinjuku","Iidabashi","1","true","free","true","some","true","7:00-22:30 daily","¥¥","medium","A woody, calm two-floor Starbucks by Iidabashi station with free Wi-Fi and roughly 21 outlet-equipped spots across both levels.","https://office.yield-marketing.co.jp/coworking/recommended-kagurazaka-workcafe/"
"Ueshima Coffee Ten Kagurazaka","shinjuku","Iidabashi","4","true","free","true","some","true","Mon-Fri 7:30-22:00, Sat/Sun 8:00-21:00","¥¥","medium","A two-floor branch of the Ueshima coffee chain on Kagurazaka with 83 seats, free Wi-Fi and around ten outlet-equipped seats.","https://office.yield-marketing.co.jp/coworking/recommended-kagurazaka-workcafe/"
